ID	Date	Offer1	Offer2	OfferDM1	OfferDM2	Refusal1	Refusal2	DMI	Breed	Parityt	month	Treatment
2327	01/11/2000	177.9166667	68.72666667	0.9221	0.901	0	0	7.40917	1	2	9	3
2327	01/12/2000	176.9	67.88709677	0.9221	0.901	0	0	7.353631613	1	2	10	3
2327	01/01/2001	181.8193548	70.83870968	0.9221	0.901	0	0	7.589550968	1	2	11	3
2327	01/02/2001	190.1892857	73.2	0.9221	0.901	0	0	7.912352143	1	2	12	3
2327	01/03/2001	199.4306452	76.1516129	0.9221	0.901	0	0	8.278937742	1	2	13	3
2327	01/04/2001	196.115	76.65666667	0.9221	0.901	0.093333333	0	8.107553667	1	2	14	3
2327	01/05/2001	166.766129	64.64032258	0.9221	0.901	0	0	6.951343548	1	2	15	3
2327	01/06/2001	173.0366667	67.1	0.9221	0.901	0	0	7.213580667	1	2	16	3
2327	01/07/2001	136.8564516	52.93225806	0.903	0.8948	0	0	5.604759355	1	2	17	3
2327	01/08/2001	166.0774194	64.05	0.903	0.8948	0.016129032	0	6.781496129	1	2	18	3
2330	01/05/1999	221.2725806	85.89193548	0.9221	0.901	0.051612903	0	9.179426774	1	1	1	3
2330	01/06/1999	179.5433333	69.54	0.9221	0.901	0	0	7.482375333	1	1	2	3
2330	01/07/1999	182.1145161	70.15	0.903	0.8948	0	0	7.449823871	1	1	3	3
2330	01/08/1999	180.8354839	69.06774194	0.903	0.8948	0	0	7.380205161	1	1	4	3
2330	01/09/1999	176.9	67.1	0.903	0.8948	0	0	7.20596	1	1	5	3
2330	01/10/1999	181.0322581	70.0516129	0.9221	0.901	0	0	7.542503226	1	1	6	3
2330	01/11/1999	182.39	70.55666667	0.9221	0.901	0	0	7.598471333	1	1	7	3
2330	01/12/1999	183.983871	71.13387097	0.9221	0.901	0	0	7.663709677	1	1	8	3
2330	01/01/2000	184.7709677	71.13387097	0.9221	0.901	0	0	7.687505806	1	1	9	3
2330	01/02/2000	184.1568966	72.04310345	0.9221	0.901	0.04137931	0	7.657644483	1	1	10	3
2330	01/03/2000	185.4596774	71.52741935	0.9221	0.901	0.187096774	0	7.54743129	1	1	11	3
2330	01/04/2000	186.2533333	71.77666667	0.9221	0.901	0.186666667	0	7.579185333	1	1	12	3
2330	01/05/2000	186.4435484	71.72419355	0.9221	0.901	0	0	7.75551129	1	1	13	3
2330	01/06/2000	189.8116667	73.2	0.9221	0.901	0	0	7.900935667	1	1	14	3
2330	01/07/2000	186.7387097	72.31451613	0.903	0.8948	0	0	7.650232258	1	1	15	3
2330	01/08/2000	185.6564516	72.80645161	0.903	0.8948	0	0	7.632622581	1	1	16	3
2330	01/09/2000	184.83	71.77666667	0.903	0.8948	0	0	7.577942667	1	1	17	3
2330	01/10/2000	189.3951613	73.2	0.9221	0.901	0	0	7.888343548	1	1	18	3
2330	01/11/2000	190.7266667	73.2	0.9221	0.901	0	0	7.928598667	1	1	19	3
2330	01/12/2000	193.0354839	74.08548387	0.9221	0.901	0	0	8.02455871	1	1	20	3
2330	01/01/2001	204.0548387	78.80806452	0.9221	0.901	0	0	8.497214194	1	1	21	3
2330	01/02/2001	214.3714286	82.13214286	0.9221	0.901	0	0	8.90731	1	1	22	3
2330	01/03/2001	220.8790323	84.21935484	0.9221	0.901	0	0	9.16571129	1	1	23	3
2330	01/04/2001	210.145	81.02833333	0.9221	0.901	0	0	8.746925667	1	2	1	3
2330	01/05/2001	181.6225806	70.15	0.9221	0.901	0	0	7.563256774	1	2	2	3
2330	01/06/2001	183.8133333	70.15	0.9221	0.901	0	0	7.629489333	1	2	3	3
2330	01/07/2001	189.8870968	72.60967742	0.903	0.8948	0	0	7.752104516	1	2	4	3
2330	01/08/2001	182.2129032	70.44516129	0.903	0.8948	0.04516129	0	7.420615484	1	2	5	3
2330	01/09/2001	182.7966667	70.15	0.903	0.8948	0	0	7.47002	1	2	6	3
2330	01/10/2001	181.3274194	70.15	0.9221	0.901	0	0	7.554333226	1	2	7	3
2330	01/11/2001	183.5083333	71.57333333	0.9221	0.901	0.1	0	7.570105	1	2	8	3
2330	01/12/2001	173.5548387	67.78870968	0.9221	0.901	0.148387097	0	7.112763871	1	2	9	3
2330	01/01/2002	178.7693548	69.75645161	0.9221	0.901	0	0	7.46537	1	2	10	3
2330	01/02/2002	182.7821429	71.56607143	0.9221	0.901	0	0	7.640145714	1	2	11	3
2330	01/03/2002	184.8693548	71.82258065	0.9221	0.901	0	0	7.710825484	1	2	12	3
2330	01/04/2002	189.9133333	73.60666667	0.9221	0.901	0	0	7.916022667	1	2	13	3
2330	01/05/2002	191.7564516	74.18387097	0.9221	0.901	0	0	7.988796452	1	2	14	3
2330	01/06/2002	195.4033333	75.53833333	0.9221	0.901	0	0	8.139064	1	2	15	3
2330	01/07/2002	188.0177419	72.31451613	0.903	0.8948	0	0	7.6881	1	2	16	3
2330	01/08/2002	186.05	73.2	0.903	0.8948	0	0	7.65582	1	2	17	3
2334	01/02/1999	158.9267857	61.43571429	0.9221	0.901	0	0	6.619671071	1	1	1	2
2334	01/03/1999	137.7419355	53.71935484	0.9221	0.901	0	0	5.751245161	1	1	2	2
2334	01/04/1999	134.4033333	51.85	0.9221	0.901	0	0	5.595087333	1	1	3	2
2334	01/05/1999	132.9209677	51.85	0.9221	0.901	0	0	5.55027129	1	1	4	2
2334	01/06/1999	132.7766667	51.85	0.9221	0.901	0	0	5.545908667	1	1	5	2
2334	01/07/1999	130.6580645	50.47258065	0.903	0.8948	0	0	5.349085161	1	1	6	2
2334	01/08/1999	127.6080645	49.39032258	0.903	0.8948	0	0	5.227034194	1	1	7	2
2334	01/09/1999	125.05	48.8	0.903	0.8948	0	0	5.13398	1	1	8	2
2334	01/10/1999	125.2467742	48.8	0.9221	0.901	0	0	5.228159032	1	1	9	2
2334	01/11/1999	130.235	49.105	0.9221	0.901	0	0	5.387977	1	1	10	2
2334	01/12/1999	132.133871	51.85	0.9221	0.901	0	0	5.526475161	1	1	11	2
2334	01/01/2000	131.15	51.85	0.9221	0.901	0	0	5.49673	1	1	12	2
2334	01/02/2000	132.7275862	51.85	0.9221	0.901	0	0	5.544424828	1	1	13	2
2334	01/03/2000	133.9048387	51.85	0.9221	0.901	0	0	5.580016452	1	1	14	2
2334	01/04/2000	134.0983333	51.85	0.9221	0.901	0.033333333	0	5.555129667	1	1	15	2
